,MatchNum,Country,Bowler,O,M,R,W,Econ,0s,4s,6s,Extra
498,42,Ireland,JF Mooney,9,1,40,0,4.44,38,2,0,(3w)
499,42,Ireland,SR Thompson,10,0,59,1,5.90,29,4,0,(3w)
500,42,Ireland,GH Dockrell,6,0,43,0,7.16,17,6,1,
501,42,Ireland,KJ O'Brien,10,0,49,0,4.90,35,4,1,(1w)
502,42,Ireland,PR Stirling,1.1,0,5,0,4.28,5,1,0,
503,43,South Africa,DW Steyn,7,2,18,1,2.57,30,1,0,(1w)
504,43,South Africa,KJ Abbott,6,1,27,1,4.50,26,4,0,(1w)
505,43,South Africa,M Morkel,7,1,27,1,3.85,30,2,0,"(2nb, 1w)"
506,43,South Africa,JP Duminy,9,1,29,3,3.22,29,0,0,(2w)
507,43,South Africa,Imran Tahir,8.2,0,26,4,3.12,34,2,0,(1w)
508,43,Sri Lanka,SL Malinga,6,0,43,1,7.16,21,4,0,"(2nb, 3w)"
509,43,Sri Lanka,TM Dilshan,2,0,10,0,5.00,5,0,0,
510,43,Sri Lanka,KMDN Kulasekara,1,0,13,0,13.00,2,3,0,
511,43,Sri Lanka,PHT Kaushal,6,0,25,0,4.16,22,1,0,
512,43,Sri Lanka,PVD Chameera,2,0,29,0,14.50,3,3,0,"(1nb, 4w)"
513,43,Sri Lanka,NLTC Perera,1,0,10,0,10.00,3,2,0,(1w)
514,44,Bangladesh,Mashrafe Mortaza,10,0,69,1,6.90,30,10,0,(1nb)
515,44,Bangladesh,Taskin Ahmed,10,0,69,3,6.90,30,9,1,(1w)
516,44,Bangladesh,Nasir Hossain,9,0,35,0,3.88,28,1,1,(1w)
517,44,Bangladesh,Mahmudullah,1,0,4,0,4.00,3,0,0,
518,44,Bangladesh,Rubel Hossain,10,0,56,1,5.60,25,4,1,"(1nb, 1w)"
