,MatchNum,Country,Batsman,Dismissal-Info,R,M,B,4s,6s,SR
463,27,Scotland,RM Haq,c Soumya Sarkar b Shakib Al Hasan,1,2,3,0,0,33.33
464,27,Scotland,AC Evans,not out,0,1,0,0,0,-
465,27,Bangladesh,Tamim Iqbal,lbw b Davey,95,132,100,9,1,95.00
466,27,Bangladesh,Soumya Sarkar,c †Cross b Davey,2,7,5,0,0,40.00
467,27,Bangladesh,Mahmudullah,b Wardlaw,62,87,62,6,1,100.00
468,27,Bangladesh,Mushfiqur Rahim†,c MacLeod b Evans,60,68,42,6,2,142.85
469,27,Bangladesh,Shakib Al Hasan,not out,52,77,41,5,1,126.82
470,27,Bangladesh,Sabbir Rahman,not out,42,46,40,4,2,105.00
471,28,West Indies,DR Smith,c †Dhoni b Mohammed Shami,6,19,20,1,0,30.00
472,28,West Indies,CH Gayle,c MM Sharma b Mohammed Shami,21,44,27,2,1,77.77
473,28,West Indies,MN Samuels,run out (MM Sharma/Kohli),2,14,7,0,0,28.57
474,28,West Indies,JL Carter,c Mohammed Shami b Ashwin,21,67,43,3,0,48.83
475,28,West Indies,D Ramdin†,b Yadav,0,2,1,0,0,0.00
476,28,West Indies,LMP Simmons,c Yadav b MM Sharma,9,39,22,0,0,40.90
477,28,West Indies,DJG Sammy,c †Dhoni b Mohammed Shami,26,69,55,2,0,47.27
478,28,West Indies,AD Russell,c Kohli b Jadeja,8,13,8,0,1,100.00
479,28,West Indies,JO Holder*,c Kohli b Jadeja,57,79,64,4,3,89.06
480,28,West Indies,JE Taylor,c & b Yadav,11,30,18,1,0,61.11
481,28,West Indies,KAJ Roach,not out,0,6,1,0,0,0.00
482,28,India,RG Sharma,c †Ramdin b Taylor,7,30,18,1,0,38.88
483,28,India,S Dhawan,c Sammy b Taylor,9,17,14,1,0,64.28
484,28,India,V Kohli,c Samuels b Russell,33,51,36,5,0,91.66
485,28,India,AM Rahane,c †Ramdin b Roach,14,56,34,2,0,41.17
486,28,India,SK Raina,c †Ramdin b Smith,22,42,25,2,0,88.00
487,28,India,MS Dhoni*†,not out,45,96,56,3,1,80.35
488,28,India,RA Jadeja,c Samuels b Russell,13,31,23,2,0,56.52
489,28,India,R Ashwin,not out,16,39,32,0,0,50.00
490,29,Pakistan,Sarfraz Ahmed†,run out (Miller/†de Kock),49,62,49,5,3,100.00
491,29,Pakistan,Ahmed Shehzad,c Steyn b Abbott,18,34,30,4,0,60.00
492,29,Pakistan,Younis Khan,c Rossouw b de Villiers,37,68,44,4,0,84.09
493,29,Pakistan,Misbah-ul-Haq*,c Morkel b Steyn,56,119,86,4,0,65.11
494,29,Pakistan,Sohaib Maqsood,c Rossouw b Abbott,8,20,16,1,0,50.00
495,29,Pakistan,Umar Akmal,c de Villiers b Morkel,13,22,20,2,0,65.00
496,29,Pakistan,Shahid Afridi,c Duminy b Steyn,22,21,15,1,2,146.66
497,29,Pakistan,Wahab Riaz,lbw b Imran Tahir,0,5,1,0,0,0.00
498,29,Pakistan,Sohail Khan,c Duminy b Morkel,3,21,11,0,0,27.27
499,29,Pakistan,Rahat Ali,c Imran Tahir b Steyn,1,8,6,0,0,16.66
500,29,Pakistan,Mohammad Irfan,not out,1,5,3,0,0,33.33
501,29,South Africa,Q de Kock†,c †Sarfraz Ahmed b Mohammad Irfan,0,1,2,0,0,0.00
502,29,South Africa,HM Amla,c †Sarfraz Ahmed b Wahab Riaz,38,51,27,9,0,140.74
503,29,South Africa,F du Plessis,c †Sarfraz Ahmed b Rahat Ali,27,44,29,3,1,93.10
504,29,South Africa,RR Rossouw,c Sohail Khan b Wahab Riaz,6,16,9,1,0,66.66
505,29,South Africa,AB de Villiers*,c †Sarfraz Ahmed b Sohail Khan,77,111,58,7,5,132.75
506,29,South Africa,DA Miller,lbw b Rahat Ali,0,17,13,0,0,0.00
